PC1,PC2,PC3,PC4,Tissue,age
64.05599172902534,67.12778541367618,27.459529846267923,41.48112289689901,Lung,60-69
66.69459708163687,73.91346045425584,36.90574852498682,20.797425846081087,Lung,60-69
78.20350077787154,78.71599820600387,41.80673311813671,-36.35183512852462,Lung,60-69
69.93319449163202,79.38083237591547,32.94197900756118,38.81389235874595,Lung,60-69
66.35096694162515,64.78843558622347,37.21921267759369,-7.376995412684855,Lung,50-59
65.73115316205057,72.20829471548711,26.490345804875318,32.7468848317996,Lung,40-49
70.7925812448662,93.9097646729732,37.52240493060181,6.343844205384112,Lung,30-39
78.36752597764887,78.24226114060542,46.6895131518153,4.276290878457974,Lung,40-49
80.76588621843045,72.8557897644915,52.82501382934375,-64.43308029186817,Lung,50-59
72.99496883762744,95.38560558765771,38.962607765132184,6.8054760829109515,Lung,50-59
62.324538768915914,73.2582274450835,32.613913570279195,18.721656189874253,Lung,50-59
69.09768970180065,77.95314862947416,37.98121584793724,6.617446178348821,Lung,40-49
55.13806838593882,58.05657075134523,27.380760466663908,51.98305046624885,Lung,50-59
74.52429403738446,71.8810015058877,43.435666402953565,-4.665910441711006,Lung,40-49
72.0386919514343,74.2548965229796,40.06934097503222,-13.278458971471506,Lung,60-69
56.10169784380941,-22.15633770610894,-76.2452226118732,6.560025537451916,Liver,60-69
50.100394037442726,-41.62603447100286,-91.45472397265253,15.628854705659302,Liver,50-59
44.422333549811675,-45.455245927656286,-95.08453210978979,7.36469453504235,Liver,60-69
48.061251198359166,-48.30596110791486,-88.67189684338771,1.543712102194896,Liver,60-69
40.63762257946967,-47.072426854087034,-92.24250196092851,3.860993169903352,Liver,30-39
53.16783650867727,-30.06019494593561,-77.15064105925276,-2.643594631106081,Liver,60-69
44.650155242816815,-44.454870555535074,-87.70882634027852,18.83118345966938,Liver,60-69
45.42966962418828,-37.82364954253632,-85.25470434833494,4.234933919039887,Liver,40-49
49.24985865674178,-39.35465135800396,-83.80334023130833,9.49761490831817,Liver,50-59
63.23572160674385,-24.92101162653334,-55.315754486828645,-84.53225296807129,Liver,50-59
43.72791026679654,-52.525849570582714,-92.05087182929668,-2.5778432820304467,Liver,50-59
38.27631464613583,-14.96517561052995,-73.00503754479334,15.227755516868479,Liver,60-69
46.80867636063367,-40.44907179112353,-76.88347707571366,-6.747932370395065,Liver,50-59
42.02279090114525,-47.77233165934295,-83.75272854767543,1.036547851251638,Liver,40-49
50.635913090454025,-29.302101784889985,-81.48276788504008,26.96346525343455,Liver,20-29
48.33947445389386,-45.29550366881921,-85.99111350615262,-19.32615634887183,Liver,40-49
53.00423557962823,-31.31469852317263,-78.50992848892655,-18.472435372432596,Liver,50-59
50.91151863211566,-23.457812896809283,-65.73561786606363,-15.654062207658566,Liver,40-49
44.6239981705586,-47.027229753385875,-97.8353527925016,16.284292892157893,Liver,50-59
46.36428310886089,-49.37648925209783,-87.73187915665925,-6.621679574340714,Liver,60-69
53.88075035548412,-45.55929626514821,-88.58676906369276,-14.38110085363783,Liver,60-69
45.38986680082387,-48.230589280330115,-83.58239549385331,4.051519353755345,Liver,60-69
47.24533814740408,-42.35565996075606,-84.96704582818825,15.098290296056978,Liver,50-59
52.14037004762589,-22.568990761782533,-75.45476956698,-5.591892051859427,Liver,50-59
48.00308818121216,-29.550548391665092,-78.61938227342706,-15.691307949195924,Liver,40-49
44.11858928837194,-44.48221194065052,-91.40778256447963,1.4751786180794821,Liver,70-79
47.95570735677097,-33.251586958049195,-80.64354598380763,3.230501249766875,Liver,60-69
46.919492297838296,-45.866504769333645,-82.09159764415551,-25.74477034821321,Liver,60-69
55.38435207476637,-21.30667794159764,-62.113345360160594,-63.350921863015344,Liver,60-69
44.1986878382856,-36.780732790131324,-79.83901794693354,-16.524773613500663,Liver,50-59
53.43337473050846,-15.780188747019778,-65.60163889524947,-7.04360522167707,Liver,50-59
38.16947936644894,-27.491013991511856,-75.72031002691858,15.399571390568736,Liver,30-39
50.64058455871125,-39.57866432026578,-92.69305799732676,16.81499679243267,Liver,60-69
44.14409227504116,-46.92185972366674,-83.50801628226215,-4.057246308015084,Liver,60-69
58.66000610928453,-6.933601080566014,-43.06378018021554,-33.311926934491694,Liver,60-69
43.41094978377109,-41.258614920014324,-82.15665217475734,6.099004186204155,Liver,60-69
53.6209399666703,-34.265871832623844,-68.28248908111966,-20.481925457027625,Liver,50-59
48.67574135534869,-35.207276146372315,-89.81448184902202,18.41844547149822,Liver,40-49
