PC1,PC2,PC3,PC4,Tissue,age
33.06472343749979,-31.466699440484525,134.30812461234257,-5.175796082892511,Muscle,40-49
18.295033562915112,-39.597358631091794,118.56586400456172,-10.308445053260764,Muscle,50-59
34.26708824708658,-32.73364911078944,135.6189556314999,2.9799673242917293,Muscle,50-59
30.9682377844217,-33.91093071912288,123.3475494798269,-2.999068559370086,Muscle,60-69
30.44830571223276,-41.37562202459632,126.30129764864157,-8.559510605886373,Muscle,60-69
34.87847765976603,-33.599804516809336,123.92009524799481,-4.058904501584547,Muscle,50-59
32.52378643695341,-33.67549876600994,125.05705980606028,-5.177182267383403,Muscle,70-79
26.529272222386574,-38.110342199437135,111.74354244077759,-7.2452527936154745,Muscle,60-69
27.785629409900828,-36.73771933122196,123.56421367237016,-10.140561539284379,Muscle,60-69
22.990816973889878,-45.843522766394635,112.19628118835192,-10.181210991260835,Muscle,70-79
29.015354080829486,-35.3364798615332,120.61195370764824,-5.650582409775835,Muscle,50-59
27.591486158555746,-34.84814369348602,124.09397269434896,-12.665242992786816,Muscle,60-69
21.783037444818984,-43.88931129230937,119.9558636287972,-10.257442481068486,Muscle,60-69
24.6904006502899,-28.865336079864413,120.3263262143952,-1.8098762177189864,Muscle,60-69
18.79194863931146,-34.99077617786079,105.99957332140119,-2.4021483062834115,Muscle,50-59
31.53167157364882,-32.35564366329075,123.85942931420733,0.04255824697458298,Muscle,60-69
34.80052980861578,-37.32479448974425,126.61125276862059,-7.179378106725066,Muscle,60-69
30.115364453801615,-38.43115614565262,121.72979896711749,-6.0855403040947875,Muscle,60-69
32.378861561216084,-36.311905966666664,121.28191624792143,-9.590223941875987,Muscle,50-59
29.572958472830404,-22.48832024350794,122.36484421657049,3.297660152333642,Muscle,50-59
28.740239235367856,-31.654532643660506,120.5632685067241,-11.21772831602605,Muscle,40-49
36.60727281353309,-36.43282240767894,131.90850254895273,-14.669094451751512,Muscle,50-59
25.040503943262717,-31.61236654793843,119.48643209040716,-5.460027603835554,Muscle,50-59
34.55504235939752,-33.74994435062537,122.06421145637341,-5.427501590621091,Muscle,50-59
32.93905987817016,-35.40321213637175,118.6066176708341,-6.993787489262019,Muscle,50-59
36.757892989741904,-26.60843529656907,125.87029036372117,-3.145392903370186,Muscle,40-49
2.9156349438201405,-38.54581526498193,-26.65346458041455,-17.01043316445751,Nerve,50-59
-23.090746304144805,-40.873077406941476,-27.6642300136322,-22.318785154033396,Nerve,40-49
-1.5089244761642897,-34.4133193346228,-28.799169312806043,-11.631204230751829,Nerve,50-59
3.231387202646669,-37.33354122719684,-26.446527420349888,-13.308700109239036,Nerve,60-69
-2.5951351939671357,-40.546096067331895,-28.543959008435,-18.711277717322808,Nerve,60-69
